orignal code,DSP,LUT,CP,FF,SLICE
MachSuite_result/gemm_ncubed.json,28,5.891,8.563,11.427,12.75
MachSuite_result/stencil.json,27,0.472,6.317,0.697,1.24
MachSuite_result/fft.json,50,2.174,8.822,3.185,4.99
MachSuite_result/md_grid.json,134,9.201,9.754,14.103,18.615
MachSuite_result/stencil3d.json,6,0.619,6.889,0.633,1.14
MachSuite_result/ellpack.json,28,2.456,8.612,4.28,6.34
MachSuite_result/viterbi.json,6,21.079,10.053,15.91,33.65
MachSuite_result/needwun.json,0,0.816,9.023,0.598,1.365
MachSuite_result/kmp.json,0,0.243,6.119,0.336,0.625
MachSuite_result/ms_mergesort.json,0,0.693,7.138,0.688,1.285
MachSuite_result/ss_sort.json,0,2.089,7.623,2.232,3.86
MachSuite_result/bbgemm.json,14,1.481,8.511,2.215,3.29
MachSuite_result/md_kernel.json,268,36.289,9.313,57.959,81.035
MachSuite_result/backprop.json,107,46.072,9.896,58.091,65.775
MachSuite_result/spmv.json,14,0.979,7.891,1.307,2.375
MachSuite_result/aes256_encrypt_ecb.json,0,1.388,6.99,1.143,2.455
