orignal code,DSP,LUT,CP,FF,SLICE
PolyBench_result/kernel_gramschmidt.json,14,6.55,8.254,11.343,12.795
PolyBench_result/kernel_jacobi_1d_imper.json,14,1.056,8.471,1.372,2.2
PolyBench_result/kernel_doitgen.json,21,1.282,8.649,1.392,2.87
PolyBench_result/kernel_correlation.json,21,7.522,8.476,12.618,13.85
PolyBench_result/kernel_floyd_warshall.json,15,1.523,9.177,2.08,3.18
PolyBench_result/kernel_trisolv.json,14,4.393,8.194,7.665,8.45
PolyBench_result/kernel_jacobi_2d_imper.json,21,1.86,8.452,2.46,4.005
PolyBench_result/kernel_cholesky.json,14,6.468,8.697,11.092,12.455
PolyBench_result/kernel_atax.json,14,1.078,7.692,1.464,2.655
PolyBench_result/kernel_2mm.json,22,1.698,8.246,2.219,3.765
PolyBench_result/kernel_symm.json,29,1.625,8.413,2.489,3.635
PolyBench_result/kernel_bicg.json,14,1.092,7.825,1.612,2.56
PolyBench_result/kernel_dynprog.json,7,0.785,6.527,1.135,1.84
PolyBench_result/kernel_covariance.json,20,4.965,8.292,8.38,9.51
PolyBench_result/kernel_ludcmp.json,14,5.763,9.039,8.936,10.28
PolyBench_result/kernel_reg_detect.json,0,0.795,7.693,1.057,1.82
PolyBench_result/kernel_seidel_2d.json,6,4.688,8.781,5.18,7.695
PolyBench_result/kernel_fdtd_apml.json,77,18.806,9.466,28.764,30.68
PolyBench_result/kernel_durbin.json,17,1.918,8.15,2.183,3.685
PolyBench_result/kernel_gemm.json,18,1.24,7.87,1.707,2.78
PolyBench_result/kernel_trmm.json,18,1.358,8.528,1.81,2.775
PolyBench_result/kernel_syrk.json,18,1.269,7.897,1.871,3.195
PolyBench_result/kernel_gemver.json,33,2.613,8.416,3.495,5.605
PolyBench_result/kernel_fdtd_2d.json,40,3.897,8.681,4.701,8.09
PolyBench_result/kernel_3mm.json,26,1.959,7.704,2.656,4.94
PolyBench_result/kernel_gesummv.json,37,2.731,8.625,2.507,5.67
PolyBench_result/kernel_mvt.json,14,1.236,7.943,1.565,2.685
PolyBench_result/kernel_lu.json,22,4.867,8.288,8.407,9.275
PolyBench_result/kernel_syr2k.json,18,1.44,8.189,2.119,3.525
PolyBench_result/kernel_adi.json,22,7.624,9.236,10.81,13.845
