orignal code,DSP,LUT,CP,FF,SLICE
cdfg_1/cdfg_0,3,4.272,8.284,6.91,7.885
cdfg_1/cdfg_1,0,0.334,6.255,0.518,0.775
cdfg_1/cdfg_2,4,1.385,8.292,1.315,2.22
cdfg_1/cdfg_3,2,1.105,9.003,0.875,1.94
cdfg_1/cdfg_4,21,11.063,8.952,13.101,19.87
cdfg_1/cdfg_5,13,0.65,7.02,1.122,1.745
cdfg_1/cdfg_6,0,0.003,0.0,0.0,0.005
cdfg_1/cdfg_7,10,6.22,8.839,8.311,10.675
cdfg_1/cdfg_8,3,1.678,8.066,2.116,3.545
cdfg_1/cdfg_9,1,0.258,5.624,0.374,0.56
cdfg_1/cdfg_10,20,2.841,9.056,2.866,5.185
cdfg_1/cdfg_11,0,0.222,5.306,0.303,0.46
cdfg_1/cdfg_12,8,7.96,8.8,11.285,14.27
cdfg_1/cdfg_13,4,4.566,7.926,7.591,8.61
cdfg_1/cdfg_14,0,0.021,0.0,0.0,0.03
cdfg_1/cdfg_15,4,2.798,8.147,3.642,5.22
cdfg_1/cdfg_16,17,6.631,9.587,10.382,12.61
cdfg_1/cdfg_18,22,4.425,9.649,4.645,8.075
cdfg_1/cdfg_19,3,4.349,9.749,7.134,7.335
cdfg_1/cdfg_20,5,1.448,6.315,1.76,2.845
cdfg_1/cdfg_21,3,4.235,8.197,5.766,6.785
cdfg_1/cdfg_22,17,0.394,8.633,0.503,0.93
cdfg_1/cdfg_23,2,15.016,7.294,14.066,21.98
cdfg_1/cdfg_24,0,0.01,2.819,0.047,0.05
cdfg_1/cdfg_25,28,2.231,8.931,3.442,4.885
cdfg_1/cdfg_26,2,2.294,8.152,2.192,3.985
cdfg_1/cdfg_27,3,1.903,8.282,1.99,3.405
cdfg_1/cdfg_28,5,0.71,6.176,0.844,1.395
cdfg_1/cdfg_29,11,11.529,8.859,14.329,19.12
cdfg_1/cdfg_31,16,8.627,8.659,9.8,14.955
cdfg_1/cdfg_34,27,0.632,9.068,0.705,1.3
cdfg_1/cdfg_37,2,0.468,8.31,0.37,0.77
cdfg_1/cdfg_38,8,2.7,11.624,3.106,5.485
cdfg_1/cdfg_39,0,0.167,6.234,0.304,0.485
cdfg_1/cdfg_41,5,0.643,7.178,1.073,1.68
cdfg_1/cdfg_42,22,7.165,8.728,10.516,12.845
cdfg_1/cdfg_43,20,13.401,8.151,12.409,20.03
cdfg_1/cdfg_45,27,4.098,8.851,4.466,7.98
cdfg_1/cdfg_46,0,6.211,7.244,5.462,10.22
cdfg_1/cdfg_47,12,1.395,8.754,1.765,2.89
cdfg_1/cdfg_48,5,1.705,8.162,1.742,3.125
cdfg_1/cdfg_49,12,6.991,8.532,7.907,12.56
cdfg_1/cdfg_50,0,0.002,1.633,0.002,0.005
cdfg_1/cdfg_51,5,2.087,8.542,2.76,4.49
cdfg_1/cdfg_52,8,3.281,8.57,2.998,5.375
cdfg_1/cdfg_53,44,26.111,8.959,31.954,40.58
cdfg_1/cdfg_54,3,1.904,8.52,2.193,3.935
